oldname,name,band,seite
BVerfG_2001-05-22_S_2_BvE_0001_99_NA,WahlkreiseinteilungKrefeld,104,14
BVerfG_2001-05-22_S_2_BvQ_0048_00_NA,Altenpflegegesetz-EA,104,23
BVerfG_2001-06-15_S_2_BvB_0001_01_NA,NPD-Verbot-EA-HinterlegungAsservate-1,104,38
BVerfG_2001-06-15_S_2_BvB_0002_01_NA,NPD-Verbot-EA-HinterlegungAsservate-2,104,39
BVerfG_2001-06-15_S_2_BvB_0003_01_NA,NPD-Verbot-EA-HinterlegungAsservate-3,104,41
BVerfG_2001-06-18_S_2_BvQ_0048_00_NA,Altenpflegegesetz-EA-Berichtigung,104,42
BVerfG_2001-07-03_S_2_BvB_0001_01_a,NPD-Verbot-EA-RückgabeEDV-1,104,42
BVerfG_2001-07-18_S_1_BvQ_0023_01_NA,Lebenspartnerschaftsgesetz-EA,104,51
BVerfG_2001-10-01_S_2_BvB_0001_01_NA,NPD-Verbot-EA-RückgabeEDV-2,104,61
BVerfG_2001-10-09_S_1_BvR_0622_01_NA,Schuldnerspiegel,104,65
BVerfG_2001-10-10_S_1_BvL_0017_00_NA,KalteEnteignung,104,74
BVerfG_2001-10-24_S_1_BvR_1190_90_NA,Sitzblockaden-3,104,92
BVerfG_2001-11-21_S_1_BvL_0019_93_NA,Dienstbeschädigungsteilrente,104,126
BVerfG_2001-11-22_S_2_BvE_0006_99_NA,NATO-Konzept,104,151
BVerfG_2001-11-22_S_2_BvB_0001_01_NA,NPD-Verbot-VorlageEuGH,104,214
BVerfG_2001-12-05_S_2_BvR_0527_99_NA,RehabilitierungAbschiebungshaft,104,220
BVerfG_2001-12-05_S_2_BvG_0001_00_NA,MoratoriumGorleben,104,238
BVerfG_2002-02-19_S_2_BvG_0002_00_NA,Biblis-A,104,249
BVerfG_2001-12-06_S_2_BvE_0003_94_NA,EhrenamtlicheParteileistungen,104,287
BVerfG_2001-12-11_S_1_BvF_0001_96_NA,LER-Schlichtungsvorschlag,104,305
BVerfG_2001-12-17_S_2_BvE_0002_00_NA,Pofalla-2,104,310
BVerfG_2002-01-15_S_1_BvR_1783_99_NA,Schächten,104,337
BVerfG_2002-01-16_S_1_BvR_0010_99_NA,FachgerichtlicheAbhilfeRechtlichesGehör-AnrufungPlenum,104,357
BVerfG_2002-01-16_S_1_BvR_1236_99_NA,Apothekenöffnungszeiten,104,357
BVerfG_2002-01-22_S_2_BvB_0001_01_NA,NPD-Verbot-AufhebungTermine,104,370
BVerfG_2002-01-30_S_1_BvL_0023_96_NA,AusschlussDoppelnamen,104,373
BVerfG_2002-02-05_S_1_BvR_0105_95_NA,Familienarbeit,105,1
BVerfG_2002-02-05_S_2_BvR_0305_93_NA,Sozialpfandbriefe,105,17
BVerfG_2002-02-20_S_1_BvL_0019_97_NA,Entscheidungserheblichkeit,105,48
BVerfG_2002-02-20_S_2_BvL_0005_99_NA,Wehrpflicht-1,105,61
BVerfG_2002-03-06_S_2_BvL_0017_99_NA,Pensionsbesteuerung,105,73
BVerfG_2002-03-20_S_2_BvR_0794_95_NA,Vermögensstrafe,105,135
BVerfG_2002-03-28_S_2_BvG_0001_01_NA,UMTS-Erlöse,105,185
BVerfG_2002-04-08_S_2_BvE_0002_01_NA,MinderheitsrechteUntersuchungsausschussBT,105,197
BVerfG_2002-04-23_S_1_BvR_1412_97_NA,BrandenburgischesSchulgesetz-EA,105,235
BVerfG_2002-05-15_S_2_BvR_2292_00_NA,Richtervorbehalt,105,239
BVerfG_2002-06-26_S_1_BvR_0558_91_NA,Glykol,105,252
BVerfG_2002-06-26_S_1_BvR_0670_91_NA,Osho,105,279
BVerfG_2002-07-17_S_1_BvF_0001_01_NA,Lebenspartnerschaftsgesetz-Hauptsache,105,313
